loan_id,document_type,document_status,document_count,last_document_update
LN-00001,COLLATERAL,AVAILABLE,0,2024-04-18
LN-00002,LOAN_AGREEMENT,AVAILABLE,1,2024-01-15
LN-00003,IDENTITY,MISSING,0,2026-05-29
LN-00004,IDENTITY,AVAILABLE,4,2026-01-23
LN-00005,INCOME_PROOF,AVAILABLE,3,2025-01-04
LN-00006,INCOME_PROOF,AVAILABLE,0,2025-06-07
LN-00007,LOAN_AGREEMENT,PENDING,5,2026-08-03
LN-00008,INCOME_PROOF,AVAILABLE,5,2025-03-11
LN-00009,INCOME_PROOF,AVAILABLE,2,2025-07-22
LN-00010,COLLATERAL,PENDING,0,2026-05-12
,LOAN_AGREEMENT,EXPIRED,3,2026-04-16
,LOAN_AGREEMENT,AVAILABLE,4,2024-08-15
,LOAN_AGREEMENT,AVAILABLE,3,2025-08-05
,LOAN_AGREEMENT,AVAILABLE,1,2024-03-19
,LOAN_AGREEMENT,AVAILABLE,2,2025-05-01
,INCOME_PROOF,AVAILABLE,3,2024-12-01
,LOAN_AGREEMENT,PENDING,0,2024-09-25
,INCOME_PROOF,AVAILABLE,4,2026-03-04
LN-00001,INCOME_PROOF,AVAILABLE,1,2024-10-18
LN-00001,IDENTITY,AVAILABLE,5,2025-07-06
LN-00001,LOAN_AGREEMENT,AVAILABLE,3,2024-12-03
LN-00001,COLLATERAL,PENDING,5,2024-03-11
LN-00001,IDENTITY,PENDING,0,2024-11-12
LN-00001,COLLATERAL,AVAILABLE,4,2024-10-27
LN-00001,IDENTITY,AVAILABLE,1,2024-11-02
LN-00001,COLLATERAL,PENDING,1,2026-01-25
LN-00027,LOAN_AGREEMENT,AVAILABLE,1,2024-06-15
LN-00028,IDENTITY,AVAILABLE,1,2026-05-18
LN-00029,IDENTITY,AVAILABLE,4,2024-09-20
LN-00030,LOAN_AGREEMENT,PENDING,5,2026-02-01
LN-00031,COLLATERAL,AVAILABLE,2,2026-06-22
LN-00032,INCOME_PROOF,PENDING,2,2026-06-20
LN-00033,IDENTITY,EXPIRED,1,2025-12-24
LN-00034,LOAN_AGREEMENT,AVAILABLE,5,2026-05-09
LN-00035,LOAN_AGREEMENT,AVAILABLE,3,2026-03-09
LN-00036,LOAN_AGREEMENT,AVAILABLE,0,2026-07-21
LN-00037,COLLATERAL,AVAILABLE,4,2025-04-30
LN-00038,COLLATERAL,AVAILABLE,1,2025-04-16
LN-00039,INCOME_PROOF,AVAILABLE,2,2025-05-12
LN-00040,INCOME_PROOF,AVAILABLE,2,2026-06-17
LN-00041,COLLATERAL,AVAILABLE,2,2025-08-22
LN-00042,LOAN_AGREEMENT,PENDING,0,2026-06-11
LN-00043,LOAN_AGREEMENT,EXPIRED,5,2024-03-09
LN-00044,COLLATERAL,AVAILABLE,1,2026-05-15
LN-00045,LOAN_AGREEMENT,AVAILABLE,4,2024-02-06
LN-00046,LOAN_AGREEMENT,AVAILABLE,1,2026-07-13
LN-00047,LOAN_AGREEMENT,AVAILABLE,4,2025-06-22
LN-00048,COLLATERAL,AVAILABLE,3,2024-09-18
LN-00049,LOAN_AGREEMENT,PENDING,4,2024-11-11
LN-00050,LOAN_AGREEMENT,MISSING,3,2024-11-28
LN-00051,INCOME_PROOF,AVAILABLE,1,2025-09-16
LN-00052,LOAN_AGREEMENT,AVAILABLE,3,2026-01-01
LN-00053,IDENTITY,AVAILABLE,4,2025-12-05
LN-00054,LOAN_AGREEMENT,AVAILABLE,5,2026-04-09
LN-00055,IDENTITY,AVAILABLE,4,2026-06-06
LN-00056,IDENTITY,EXPIRED,0,2025-03-02
LN-00057,LOAN_AGREEMENT,AVAILABLE,4,2024-09-14
LN-00058,COLLATERAL,AVAILABLE,3,2024-08-21
LN-00059,IDENTITY,AVAILABLE,2,2025-08-07
LN-00060,IDENTITY,EXPIRED,5,2026-02-22
LN-00061,COLLATERAL,AVAILABLE,2,2024-03-19
LN-00062,IDENTITY,AVAILABLE,3,2025-12-03
LN-00063,IDENTITY,AVAILABLE,2,2024-07-02
LN-00064,IDENTITY,AVAILABLE,0,2024-08-15
LN-00065,INCOME_PROOF,MISSING,0,2025-11-08
LN-00066,IDENTITY,AVAILABLE,2,2025-03-18
LN-00067,LOAN_AGREEMENT,AVAILABLE,1,2026-01-03
LN-00068,COLLATERAL,AVAILABLE,4,2025-09-15
LN-00069,IDENTITY,AVAILABLE,1,2024-04-01
LN-00070,IDENTITY,AVAILABLE,1,2024-10-14
LN-00071,LOAN_AGREEMENT,AVAILABLE,0,2024-05-24
LN-00072,COLLATERAL,AVAILABLE,0,2024-08-11
LN-00073,COLLATERAL,AVAILABLE,5,2024-12-25
LN-00074,INCOME_PROOF,EXPIRED,1,2025-08-21
LN-00075,LOAN_AGREEMENT,AVAILABLE,1,2024-01-14
LN-00076,IDENTITY,AVAILABLE,5,2025-06-08
LN-00077,IDENTITY,AVAILABLE,0,2025-01-13
LN-00078,COLLATERAL,AVAILABLE,1,2024-06-14
LN-00079,IDENTITY,AVAILABLE,1,2026-04-16
LN-00080,INCOME_PROOF,MISSING,1,2024-06-17
LN-00081,INCOME_PROOF,AVAILABLE,1,2024-07-16
LN-00082,INCOME_PROOF,AVAILABLE,1,2024-06-04
LN-00083,LOAN_AGREEMENT,AVAILABLE,5,2024-03-23
LN-00084,LOAN_AGREEMENT,AVAILABLE,1,2026-01-29
LN-00085,IDENTITY,PENDING,4,2024-10-24
LN-00086,LOAN_AGREEMENT,AVAILABLE,5,2026-01-10
LN-00087,INCOME_PROOF,AVAILABLE,0,2024-03-07
LN-00088,INCOME_PROOF,AVAILABLE,5,2024-02-11
LN-00089,LOAN_AGREEMENT,AVAILABLE,2,2025-06-17
LN-00090,LOAN_AGREEMENT,AVAILABLE,4,2024-12-20
LN-00091,LOAN_AGREEMENT,MISSING,4,2024-02-27
LN-00092,LOAN_AGREEMENT,PENDING,1,2025-04-17
LN-00093,COLLATERAL,MISSING,1,2024-04-27
LN-00094,IDENTITY,MISSING,2,2026-08-03
LN-00095,IDENTITY,MISSING,5,2024-06-05
LN-00096,LOAN_AGREEMENT,PENDING,2,2025-02-12
LN-00097,COLLATERAL,PENDING,1,2026-08-07
LN-00098,IDENTITY,PENDING,4,2025-01-07
LN-00099,COLLATERAL,AVAILABLE,5,2024-12-31
LN-00100,COLLATERAL,AVAILABLE,2,2025-03-04
LN-00101,INCOME_PROOF,AVAILABLE,3,2024-07-11
LN-00102,LOAN_AGREEMENT,AVAILABLE,0,2024-02-17
LN-00103,COLLATERAL,PENDING,3,2025-03-01
LN-00104,COLLATERAL,AVAILABLE,1,2025-09-23
LN-00105,IDENTITY,AVAILABLE,3,2026-05-06
LN-00106,INCOME_PROOF,AVAILABLE,3,2024-07-18
LN-00107,COLLATERAL,AVAILABLE,1,2025-02-12
LN-00108,LOAN_AGREEMENT,PENDING,3,2024-10-25
LN-00109,IDENTITY,AVAILABLE,1,2026-02-02
LN-00110,COLLATERAL,EXPIRED,4,2024-04-27
LN-00111,INCOME_PROOF,AVAILABLE,2,2024-01-07
LN-00112,COLLATERAL,AVAILABLE,2,2025-04-27
LN-00113,LOAN_AGREEMENT,MISSING,2,2024-06-05
LN-00114,LOAN_AGREEMENT,AVAILABLE,4,2025-09-23
LN-00115,IDENTITY,AVAILABLE,1,2024-05-05
LN-00116,LOAN_AGREEMENT,AVAILABLE,5,2025-04-13
LN-00117,IDENTITY,EXPIRED,1,2024-07-20
LN-00118,INCOME_PROOF,AVAILABLE,0,2025-08-19
LN-00119,COLLATERAL,AVAILABLE,2,2026-08-16
LN-00120,LOAN_AGREEMENT,AVAILABLE,2,2024-10-11
LN-00121,INCOME_PROOF,AVAILABLE,4,2025-07-07
