loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-00001,BR-00001,EDUCATION,2024-12-16,2044-12-16,5000,4061.0,15.45,240,NJ,TUITION,A,1,30K-50K,CURRENT,0,NorthStar Servicing,2025-05-24,2025-04-29,AVAILABLE,ORIGINATION
LN-00002,BR-00002,AUTO,2019-05-11,2039-05-11,100000,47714.17,19.09,240,MD,VEHICLE_PURCHASE,B,7,150K+,DELINQUENT,60,NorthStar Servicing,2020-10-23,2025-10-05,AVAILABLE,API_IMPORT
LN-00003,BR-00003,HOME,2020-04-16,2035-04-17,15000,4275.15,10.6,180,TN,HOME_PURCHASE,D,3,150K+,CURRENT,0,BlueRiver Finance,2024-07-21,2025-06-29,MISSING,SERVICING
LN-00004,BR-00004,EDUCATION,2022-12-20,2032-12-19,150000,16154.9,11.34,120,MN,EDUCATION_EXPENSE,B,20,100K-150K,DELINQUENT,15,NorthStar Servicing,2023-10-03,2026-01-07,AVAILABLE,SERVICING
LN-00005,BR-00005,BUSINESS,2024-04-10,2029-04-10,500000,380773.01,18.73,60,IL,WORKING_CAPITAL,E,7,<30K,CURRENT,0,Cedar Capital,2024-12-20,2026-04-12,AVAILABLE,API_IMPORT
LN-00006,BR-00006,HOME,2025-10-07,2027-10-07,50000,46295.45,6.44,24,IL,HOME_PURCHASE,D,5,100K-150K,CURRENT,0,Cedar Capital,2026-01-25,2026-03-12,AVAILABLE,API_IMPORT
LN-00007,BR-00007,HOME,2020-07-27,2050-07-28,150000,103586.1,17.41,360,AZ,HOME_PURCHASE,C,2,150K+,CURRENT,0,Apex Loan Services,2022-01-03,2026-06-12,PENDING,SERVICING
LN-00008,BR-00008,EDUCATION,2024-11-06,2030-11-06,5000,3342.99,19.71,72,IL,TUITION,C,7,30K-50K,DEFAULT,90,Cedar Capital,2026-06-07,2025-04-10,AVAILABLE,SERVICING
LN-00009,BR-00009,PERSONAL,2024-01-10,2030-01-09,5000,4469.34,6.93,72,IL,DEBT_CONSOLIDATION,D,5,75K-100K,CURRENT,0,BlueRiver Finance,2026-01-11,2025-01-13,AVAILABLE,SERVICING
LN-00010,BR-00010,EDUCATION,2025-10-01,2029-10-01,250000,172715.84,6.01,48,TX,TUITION,B,2,150K+,CURRENT,0,Cedar Capital,2026-03-12,2025-11-28,PENDING,ORIGINATION
