loan_id,borrower_id,current_balance,interest_rate,payment_status,last_payment_date,last_updated_at,servicer_name
LN-00432,BR-00432,0,6.22,CLOSED,2021-09-18,2025-03-13,BlueRiver Finance
LN-00401,BR-00401,,17.17,DELINQUENT,2024-12-25,2025-02-12,NorthStar Servicing
LN-00487,BR-00487,4213.26,13.37,CURRENT,2023-11-14,2026-03-07,Cedar Capital
LN-01403,BR-01403,75014.25,9.02,CURRENT,2023-10-07,2025-09-21,NorthStar Servicing
LN-01209,BR-01209,81211.56,16.71,DELINQUENT,2026-04-29,2025-01-12,Cedar Capital
LN-01236,BR-01236,242925.91,18.72,CURRENT,2024-09-23,2025-11-06,Cedar Capital
LN-01902,BR-00302,7898.09,11.84,CURRENT,2022-05-29,2025-12-17,Cedar Capital
LN-01581,BR-01581,,8.2,DELINQUENT,2025-06-28,2026-08-20,Cedar Capital
LN-01591,BR-01591,4736.01,21.39,CURRENT,2025-05-14,2025-10-03,Apex Loan Services
LN-01512,BR-01512,108856.7,20.15,DELINQUENT,2020-12-08,2025-09-08,Cedar Capital
LN-00885,BR-00885,82708.97,6.68,CURRENT,2026-06-09,2025-11-02,BlueRiver Finance
LN-00119,BR-00003,188838.66,9.16,CURRENT,2026-04-06,2025-11-22,Cedar Capital
LN-00440,BR-00440,4055.39,20.49,DELINQUENT,2025-11-20,2025-09-29,Apex Loan Services
LN-01638,BR-00038,15800.19,5.91,CURRENT,2023-04-08,2026-04-03,NorthStar Servicing
LN-00977,BR-00977,,15.66,CURRENT,2023-08-11,2025-06-22,Cedar Capital
LN-00792,BR-00792,18832.65,10.06,DEFAULT,2026-01-03,2024-09-22,BlueRiver Finance
LN-01306,BR-01306,33669.0,19.48,CURRENT,2025-01-20,2025-06-10,Apex Loan Services
LN-00121,BR-00003,,12.43,CURRENT,2021-09-27,2026-01-30,Cedar Capital
LN-01698,BR-00098,20676.12,6.02,CURRENT,2026-07-31,2025-06-01,BlueRiver Finance
LN-01622,BR-00022,25403.5,17.81,CURRENT,2025-11-15,2026-07-31,NorthStar Servicing
LN-01570,BR-01570,0,16.1,CURRENT,2026-07-10,2025-07-23,BlueRiver Finance
LN-00692,BR-00692,22646.61,14.47,CURRENT,2025-09-02,2026-04-07,Cedar Capital
LN-00847,BR-00847,74841.44,16.83,CURRENT,2025-05-20,2026-04-17,Cedar Capital
LN-00204,BR-00205,,8.53,CURRENT,2026-05-21,2026-05-30,Cedar Capital
LN-00146,BR-00146,18192.68,9.14,CURRENT,2023-07-02,2025-03-18,Apex Loan Services
LN-01111,BR-01111,0,17.09,DELINQUENT,2026-02-01,2025-02-05,Cedar Capital
LN-01278,BR-01278,,7.28,DELINQUENT,2025-09-17,2024-09-20,BlueRiver Finance
LN-00814,BR-00814,9379.27,16.72,CURRENT,2025-08-13,2026-03-11,Cedar Capital
LN-01110,BR-01110,23909.14,5.57,DELINQUENT,2020-05-18,2025-01-06,NorthStar Servicing
LN-01349,BR-01349,24913.94,12.76,DELINQUENT,2024-04-24,2026-01-19,Cedar Capital
LN-00721,BR-00721,,12.44,DELINQUENT,2026-05-09,2026-07-12,NorthStar Servicing
LN-00191,BR-00191,2768.51,13.27,CURRENT,2025-01-07,2025-05-29,NorthStar Servicing
LN-00039,BR-00039,21268.62,6.62,CURRENT,2026-03-26,2025-03-20,Apex Loan Services
LN-00557,BR-00557,3139.88,12.27,CLOSED,2026-01-08,2025-12-27,BlueRiver Finance
LN-00247,BR-00247,24192.77,16.55,DELINQUENT,2023-01-21,2025-10-03,NorthStar Servicing
LN-00175,BR-00175,50848.68,17.78,CURRENT,2023-09-10,2025-11-13,Cedar Capital
LN-00716,BR-00716,22543.73,19.11,CURRENT,2022-07-24,2026-07-20,NorthStar Servicing
LN-01758,BR-00158,10772.27,8.05,DEFAULT,2022-03-18,2026-04-06,NorthStar Servicing
LN-00508,BR-00508,117613.25,11.96,CURRENT,2024-03-12,2025-07-24,NorthStar Servicing
LN-01814,BR-00214,62792.65,9.8,DEFAULT,2024-06-16,2025-09-24,NorthStar Servicing
